trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,13,-62.95385687043115,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-94.82929596621962,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-101.67951324881587,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-60.158978467254826,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-142.22454653488282,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-43.58097335996517,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,-35.24637648640138,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,7,-137.88987203804217,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-50.79627046426299,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-201.9035844187261,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-143.09430144699104,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-255.84347651242103,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,2,-44.64627977419551,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,18,-65.91616610593505,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-67.28615118639657,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-80.74030421719696,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-25.314977623151808,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-14.33595927369217,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,1.1999434429924465,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,10,-7.734019865646919,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,0,-72.54647818485017,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-92.08136732085039,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-58.633363402343285,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-59.61061716414729,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,6,-52.18791327933721,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,12,12.30287025179271,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,37.87105268010017,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,13,-19.820829813634134,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,17.76961069627638,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,3,-24.707311914359924,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
