trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",30,0,-124.04076804795885,"{0: 17, 1: 4, 2: 6, 3: 3, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.9980019986673331}",20,0,-197.1502327322849,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.6, 'e': 0.9960079893439915}",20,0,-114.48052998179723,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.9940179640539353}",20,0,-93.55792910507226,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.9920319148370607}",30,0,-238.0628837094132,"{0: 13, 1: 6, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.9900498337491681}",20,0,-101.28020637004794,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9880717128619305}",20,0,-82.22913168837592,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.9860975442628619}",35,0,-154.7253586299469,"{0: 21, 1: 2, 2: 9, 3: 2, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9841273200552851}",25,0,-230.29224480863854,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
10,False,"{'a': 0.6, 'e': 0.9821610323583008}",20,0,-124.39543955137437,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.9801986733067553}",25,0,-199.3714398810752,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.6, 'e': 0.97824023505121}",20,0,-120.77618094666657,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.9762857097579093}",30,0,-266.4718349890597,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
14,False,"{'a': 0.6, 'e': 0.9743350896087494}",20,0,-60.27237940844919,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.9723883668012469}",20,0,-125.79500718648296,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.9704455335485082}",25,0,-178.160036704602,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
17,False,"{'a': 0.6, 'e': 0.9685065820791976}",20,0,-150.18871300431022,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.9665715046375066}",20,0,-126.23701373567071,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.9646402934831231}",25,0,-179.2038338850663,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
