trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.27302677722469,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,13,-37.03097001335294,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,10,-71.48428209794528,"{0: 7, 1: 1, 2: 6, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.4547713210905,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.79105819214318,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.52417398129411,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,8,-44.684532369192084,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.46868637780054,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,11,-0.14028012117267052,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-212.70119794814286,"{0: 8, 1: 5, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.368515809571065,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,4,-147.19397758843635,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.92496740953736,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,1,-128.17094971008447,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-63.7997772143737,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.99223236313595,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.195572845159719,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,8,-53.042360238905275,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.34774913679084,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.61520767870692,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-261.4812148809932,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,12,-64.71779229844203,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.34548745118407,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-173.91549351632256,"{0: 7, 1: 5, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.34490573496136,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.64565154161554,"{0: 12, 1: 3, 2: 4, 3: 4, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-71.43843746209544,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-252.37297400466744,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-181.0854399948194,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.35076736436217,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.19486216365456,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
12,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.337330082045,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
13,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.00623210424118,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
14,True,"{'a': 0.5, 'e': 1.0}",30,21,-45.369874316276906,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.118027746772,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.38005857776167,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
17,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.7808610562838,"{0: 11, 1: 3, 2: 5, 3: 5, 4: 1}",0
18,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.6698691423211,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
19,True,"{'a': 0.5, 'e': 1.0}",20,4,-93.04678807277445,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 2}",1
